Скважина,Дата,Пласт,ГИС,Тип,Перфоратор,N отв,Hнач(md),Hкон(md),Hнач(abs),Hкон(abs),"Hнач(abs,тр)","Hкон(abs,тр)",Плотность,Открыт
54R,30.12.1899,,НП4,,Oткрытый ствол ( без фильтрa),0,301.5,2200.0,244.5,2143.0,244.5,2143.0,0,Да
62R,10.03.1967,,НП4,ПЕРВИЧ.ПЕРФ.,Oткрытый ствол ( без фильтрa),0,386.6,2234.0,330.4,2177.8,331.0,2177.8,0,Да
88R,05.07.1981,ПК1,,ПЕРВИЧ.ПЕРФ.,Пкс-80,54,482.0,491.0,436.1,445.1,436.2,445.2,6,Да
84R,07.12.2015,ПК3-9,,ПЕРВИЧ.ПЕРФ.,ЗПКС-80,400,600.0,620.0,552.0,572.0,552.2,572.2,20,Да
84R,10.12.2015,ПК3,,ПЕРВИЧ.ПЕРФ.,ЗПКС-80,200,600.0,620.0,552.0,572.0,552.2,572.2,10,Да
84R,07.12.2015,ПК3-9,,ПЕРВИЧ.ПЕРФ.,ЗПКС-80,280,680.0,694.0,632.0,646.0,632.2,646.2,20,Да
84R,10.12.2015,ПК5,,ПЕРВИЧ.ПЕРФ.,ЗПКС-80,140,680.0,694.0,632.0,646.0,632.2,646.2,10,Да
57R,13.08.1966,ПК1,,ПЕРВИЧ.ПЕРФ.,Пк-103,140,701.0,715.0,657.3,671.3,657.3,671.3,10,Да
57R,13.08.1966,ПК1,,ПЕРВИЧ.ПЕРФ.,Пк-103,140,738.0,752.0,694.3,708.3,694.3,708.3,10,Да
7001G,05.01.2019,ПК3-9,,ДОСТРЕЛ,"ЗКПО-ПП-30ГП (102,114)",200,747.0,757.0,1463.1,1465.6,699.1,709.1,20,Да
57R,13.08.1966,ПК1,,ПЕРВИЧ.ПЕРФ.,Пк-103,70,753.0,760.0,709.3,716.3,709.3,716.3,10,Да
4508G2,18.11.2020,ПК3-9,,ПЕРВИЧ.ПЕРФ.,Скорпион ПП 25 ГП (89),660,775.0,808.0,1696.9,1699.1,700.9,727.1,20,Да
84R,07.12.2015,ПК3-9,,ПЕРВИЧ.ПЕРФ.,ЗПКС-80,320,780.0,796.0,732.0,748.0,732.2,748.2,20,Да
84R,10.12.2015,ПК8-9,,ПЕРВИЧ.ПЕРФ.,ЗПКС-80,160,780.0,796.0,732.0,748.0,732.2,748.2,10,Да
7001G,04.01.2019,ПК3-9,,ДОСТРЕЛ,"ЗКПО-ПП-30ГП (102,114)",200,785.0,795.0,1472.8,1475.4,737.2,747.2,20,Да
129R,28.09.1981,XM10,,ПЕРВИЧ.ПЕРФ.,Пкс-80,90,800.0,830.0,749.9,779.8,749.4,779.4,3,Да
84R,07.12.2015,ПК3-9,,ПЕРВИЧ.ПЕРФ.,ЗПКС-80,240,802.0,814.0,754.0,766.0,754.2,766.2,20,Да
84R,07.12.2015,ПК8-9,,ПЕРВИЧ.ПЕРФ.,ЗПКС-80,240,802.0,814.0,754.0,766.0,754.2,766.2,20,Да
R2-1,12.08.2019,ПК3-9,,ПЕРВИЧ.ПЕРФ.,Скорпион ПП 25 ГП (89),980,803.8,852.8,645.3,694.3,739.9,782.9,20,Да
7001G,04.01.2019,ПК3-9,,ДОСТРЕЛ,"ЗКПО-ПП-30ГП (102,114)",200,805.0,815.0,1478.0,1480.5,757.2,767.2,20,Да
4508G2,18.11.2020,ПК3-9,,ПЕРВИЧ.ПЕРФ.,Скорпион ПП 25 ГП (89),80,815.0,819.0,1699.6,1699.9,732.5,735.6,20,Да
