Скважина,Глубина,Наклон,Азимут,Магнитн. склонен.
101P,0,0,0,0
101P,25,0,0,0
101P,50,0,0,0
101P,75,0,0,0
101P,100,0,0,0
101P,125,"0,5",0,0
101P,150,"0,5",0,0
101P,175,"0,8",0,0
101P,200,1,0,0
101P,225,"0,8",0,0
101P,250,"0,8",0,0
101P,275,"0,8",0,0
101P,300,"0,5",0,0
101P,325,"0,5",0,0
101P,350,"0,5",0,0
101P,375,"0,5",0,0
101P,400,"0,3",0,0
101P,425,"0,3",0,0
101P,450,"0,3",0,0
101P,475,"0,3",0,0
101P,500,0,0,0
101P,525,0,0,0
101P,550,0,0,0
101P,575,"0,3",0,0
101P,600,"0,3",0,0
101P,625,"0,3",0,0
101P,650,"0,3",0,0
101P,675,"0,3",0,0
101P,700,"0,3",0,0
101P,725,"0,3",0,0
101P,750,"0,3",0,0
101P,775,"0,5",0,0
101P,800,"0,8",0,0
101P,825,"0,8",0,0
101P,850,"0,8",0,0
101P,875,"0,8",0,0
101P,900,"0,8",0,0
101P,925,1,0,0
101P,950,"1,3",0,0
101P,975,"1,3",0,0
101P,1000,"1,5",0,0
101P,1025,"1,5",0,0
101P,1050,"1,5",0,0
101P,1075,"1,5",0,0
101P,1100,"1,5",0,0
101P,1125,"1,3",0,0
101P,1150,"0,8",0,0
101P,1175,"0,8",0,0
101P,1200,"0,5",0,0
101P,1225,"0,5",0,0
101P,1250,"0,8",0,0
101P,1275,1,0,0
101P,1300,"1,5",0,0
101P,1325,"1,8",0,0
101P,1350,"1,8",0,0
101P,1375,"1,8",0,0
101P,1400,"1,5",0,0
101P,1425,"1,5",0,0
101P,1450,"1,3",0,0
101P,1475,"1,3",0,0
101P,1500,1,0,0
101P,1525,1,0,0
101P,1550,"0,8",0,0
101P,1575,"0,5",0,0
101P,1600,"0,5",0,0
101P,1625,"0,5",0,0
101P,1650,"0,3",0,0
101P,1675,"0,3",0,0
101P,1700,0,0,0
101P,1725,0,0,0
101P,1750,"0,3",0,0
101P,1775,"0,3",0,0
101P,1800,"0,3",0,0
101P,1825,"0,3",0,0
101P,1850,"0,3",0,0
101P,1875,0,0,0
101P,1900,0,0,0
101P,1925,"0,3",0,0
101P,1950,"0,3",0,0
101P,1975,"0,5",0,0
101P,2000,"0,5",0,0
101P,2025,"0,5",0,0
101P,2050,"0,5",0,0
101P,2075,"0,8",0,0
101P,2100,"0,8",0,0
101P,2125,"0,8",0,0
101P,2150,"0,8",0,0
101P,2175,"0,5",0,0
