Общее,,,,,,,,Пласт,,,,,Режим,,,,,,,,,,,Даты,,Потенциал,,,Жидкость,,,,,,Месяц,,,,Насос,,,,,,,Скважина,,,Пакер,,,Давление,,,,,,Дополнительно
,Номер скважины,Куст,Дата,Состояние,СЭ,Рентабельность,,Пласт,Hвд,Удл.,H пер.,Н эфф.,Qн,Qж,%,Р(заб),Pпл,KH,Кпр,Kпрон,Скин-фактор,Rc,H дин,Пуски,Остановки,Qн,Qж,Qж (Д),Газовый фактор,Вязкость,Плотность нефти,Коб,Вязкость жидкости,Плотность воды,Нефть,Жидкость,Т раб,Т нак,Дата,Насос,Произв-ть,Hспуск,Напор,Гц,Текущие,Dэ/к,Dнкт,Dшт,Дата,Пакер,Hпак,Рбуф,Р лин.,Р затр.,Рприем,Н стат,Рзатр при Нстат,Примечание
Добывающая,4055G2,КУСТ-3,дек..2021,РАБ.,ФОН,Да,,НП4,2841,"931,6","1186,7","13,5","150,1","192,0","8,0","134,0","160,5","1288,6","7,78","1,1","0,0",250,,8/18/2019,8/6/2019,150,192,192,1393,"1,05","0,850","1,176","1,08","1,005",4654,5952,744,,18/08/2019 2:00:00,фонтанный лифт,,2642,,,,"157,2",89,12,,,,"84,0","27,0","115,0","0,0",0,"0,000",
Добывающая,4001G,КУСТ-1,,РАБ.,ФОН,Да,,НП4,2308,"416,2","760,0","24,0","106,6","132,0","5,0","150,5","168,5","1257,9","7,68","1,7","0,0",250,,3/14/2020,2/29/2020,107,132,132,1981,"1,05","0,850","1,176","1,07","1,005",3304,4092,744,,14/03/2020 2:00:00,Фонтанный лифт с ТМСП,,2017,,,,"157,2",73,12,,,,"96,0","32,1","120,0","145,2",0,"0,000",
Добывающая,148R,,,РАБ.,ФОН,Да,,НП4,1857,"0,2","15,2","11,8","47,2","56,1","1,0","119,4","137,3","535,8","3,32","35,2","0,0",250,,9/14/2021,9/4/2021,47,56,56,1888,"1,05","0,850","1,176","1,05","1,005",1463,1739,744,,14/09/2021 2:00:01,Воронка с пакером,,1822,,,,"124,0",73,8,,,,"94,0","24,5","5,0","0,0",0,"0,000",
Добывающая,4055G2,КУСТ-3,нояб..2021,РАБ.,ФОН,Да,,НП4,2841,"931,6","1186,7","13,5","156,4","200,0","8,0","131,0","160,5","1217,2","7,35","1,0","0,0",250,,8/18/2019,8/6/2019,156,200,200,1312,"1,05","0,850","1,176","1,08","1,005",4692,6000,720,,18/08/2019 2:00:00,фонтанный лифт,,,,,,"157,2",89,12,,,,"78,0","20,0","119,0","0,0",0,"0,000",
Добывающая,4001G,КУСТ-1,,РАБ.,ФОН,Да,,НП4,2308,"416,2","760,0","24,0","99,3","123,0","5,0","150,7","168,5","1190,8","7,27","1,6","0,0",250,,3/14/2020,2/29/2020,99,123,123,2115,"1,05","0,850","1,176","1,07","1,005",2980,3690,720,,14/03/2020 2:00:00,Фонтанный лифт с ТМСП,,,,,,"157,2",73,12,,,,"96,0","32,0","120,0","145,4",0,"0,000",
Добывающая,148R,,,РАБ.,ФОН,Да,,НП4,1857,"0,2","15,2","11,8","46,5","55,3","1,0","119,4","137,3","527,9","3,27","34,7","0,0",250,,9/14/2021,9/4/2021,47,55,55,1890,"1,05","0,850","1,176","1,05","1,005",1395,1658,720,,14/09/2021 2:00:01,Воронка с пакером,,,,,,"124,0",73,8,,,,"85,0","24,0","8,0","0,0",0,"0,000",
Добывающая,4055G2,КУСТ-3,окт..2021,РАБ.,ФОН,Да,,НП4,2841,"931,6","1186,7","13,5","150,1","192,0","8,0","127,7","160,5","1059,1","6,39","0,9","0,0",250,,8/18/2019,8/6/2019,150,192,192,1292,"1,05","0,850","1,176","1,08","1,005",4654,5952,744,,18/08/2019 2:00:00,фонтанный лифт,,,,,,"157,2",89,12,,,,"85,6","22,0","120,5","0,0",0,"0,000",
Добывающая,4001G,КУСТ-1,,РАБ.,ФОН,Да,,НП4,2308,"416,2","760,0","24,0","108,5","133,0","4,0","145,0","167,5","1023,0","6,27","1,3","0,0",250,,3/14/2020,2/29/2020,109,133,133,1948,"1,05","0,850","1,176","1,07","1,005",3364,4123,744,,14/03/2020 2:00:00,Фонтанный лифт с ТМСП,,,,,,"157,2",73,12,,,,"96,0","30,0","120,0","145,6",0,"0,000",
Добывающая,148R,,,РАБ.,ФОН,Да,,НП4,1857,"0,2","15,2","11,8","55,3","65,7","1,0","111,9","138,0","442,7","2,74","29,1","0,0",250,,9/14/2021,9/4/2021,55,66,66,1678,"1,05","0,850","1,176","1,05","1,005",1679,1996,729,,14/09/2021 2:00:01,Воронка с пакером,,,,,,"124,0",73,8,,,,"85,0","24,0","8,0","0,0",0,"0,000",
Добывающая,4055G2,КУСТ-3,сент..2021,РАБ.,ФОН,Да,,НП4,2841,"931,6","1186,7","13,5","166,6","198,0","1,0","125,8","160,5","1018,8","6,32","0,9","0,0",250,,8/18/2019,8/6/2019,167,198,198,1176,"1,05","0,850","1,176","1,05","1,005",4999,5940,720,,18/08/2019 2:00:00,фонтанный лифт,,,,,,"157,2",89,12,,,,"84,0","28,3","118,0","0,0",0,"0,000",
